padding_token_1,padding_token_2,padding_token_3,Stop_codons,Start_codons,TSS,TSS_A,exon_stop,alternative_exon,constitutive_exon,internal_exon,long_exon,last_exon,last_exon_400bp,last_exon_sc400,intron,pos_cds,pos_exons,dist_sj_5_p2000,dist_sj_3_p2000,length_UTR3,length_UTR5,length_cds,length_gene_ex,length_gene_full,length_tx_exon,length_tx_full,clust_C_f1000,clust_C_f100,dist_C_p200,sncRNA,lncRNA,GC_cont_genes,GC_cont_101bp,GC_cont_101bp_abs
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.485656083,1.485515144,0.324221496,0.42403416,-0.027443344,0,0.574089619,0.57407277,0.568894841,-0.156411453,0.568894841,-0.086213645,0.81803674,0.162329284,1,1,-0.476756029,2.06231577,2.08274847
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-1.436919447,-1.43637022,0.324221496,0.312896701,-0.077867758,0,0.588853427,0.588837093,0.583673684,-0.174492582,0.583673684,-1.261621059,-0.458904466,1.508028951,1,1,-1.013406801,-0.029041817,-0.001944674
0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,-1.669462002,-1.66885786,0.324221496,0.288624776,0.042932881,0,0.481815822,0.481795752,0.476527073,-0.448292525,0.476527073,0.419337931,-2.035657012,-0.243521752,1,1,0.047803262,-1.434127904,1.44633524
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-1.088280697,-1.087813802,0.324221496,0.367635778,0.084681505,0,-0.326502636,-0.326550921,-0.332614575,-0.598107588,-0.332614575,-0.730791904,-1.130316049,0.493365611,1,1,-0.803371288,-1.683641617,1.704362273
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.96987858,-0.969439645,0.324221496,0.389803732,7.46E-05,0,-0.077363385,-0.077402973,-0.083221602,-0.675598139,-0.083221602,-0.035658487,-0.078515412,-0.398961905,1,1,-0.758256586,0.163381404,0.243555887
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.812680463,-0.81227865,0.324221496,0.451507915,0.039253418,0,-0.370794058,-0.370843889,-0.376951104,-0.226152948,-0.376951104,-0.553848853,-1.078850437,-0.781891255,1,1,-0.468937591,-0.030765175,0.042869071
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.281352645,0.281496101,0.324221496,0.382371328,0.031509996,0,0.50580701,0.505787777,0.500542693,0.553918589,0.500542693,0.267672458,-0.159605038,-0.677903228,1,1,-1.606251443,-1.285401685,1.218471311
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.289768581,-0.289490254,0.324221496,-2.792344846,0.01628645,0,-0.086590765,-0.086630675,-0.092458378,0.455763892,-0.092458378,0.697391298,0.074624034,0.149268813,1,1,-0.652561423,-0.344434289,0.445004291
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-1.218645211,-1.21814753,-3.272763194,-1.064138014,0.02776711,0,0.046283502,0.04624823,0.040551208,-0.350137828,0.040551208,-0.225240328,-0.815133923,-0.815967774,1,1,0.25220332,-0.665208059,0.708559327
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.267700086,-0.26742697,0.324221496,0.317583297,0.050854315,0,0.75494626,0.754935724,0.749935667,1.098935457,0.749935667,0.318227616,-0.281476611,0.211059137,1,1,-0.307432286,0.086685769,0.165220337
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-1.292479245,-1.291964128,0.324221496,0.416461138,-0.084420874,0,-0.457531427,-0.457584285,-0.463776806,-0.665266065,-0.463776806,0.571003404,1.131006023,0.149007771,1,1,0.778202839,1.244514151,1.163190063
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.903266359,-0.902843154,0.324221496,0.41387955,0.049306341,0,-0.352339299,-0.352388485,-0.35847755,0.62882612,-0.35847755,-0.174685171,0.312788232,0.145296954,1,1,0.236037177,1.53805965,1.587117984
0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,-1.585888329,-1.585303924,0.324221496,0.320351292,0.080614478,0,-0.590405694,-0.590463191,-0.596786392,1.184175062,-0.596786392,-0.023019698,0.044243328,-0.707578476,1,1,1.179424085,0.312990346,0.250575136
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.150726189,1.150664343,0.324221496,0.375312933,0.034428075,0,1.122195971,1.122198254,1.117559384,0.45834691,1.117559384,-0.579126431,-1.13614835,0.212617853,1,1,-0.986825637,-0.31467535,0.377321262
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0.20447879,0.204640401,0.324221496,0.349265989,-0.097050917,0,-1.125593715,-1.125669892,-0.938547134,2.266459744,-0.938547134,-1.501758057,-0.021761084,0.555258314,1,1,0.808810844,0.609331408,0.632309228
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-0.175638531,-0.175387156,0.324221496,0.336270829,-0.0832982,0,-1.147739426,-1.147816376,-1.154687712,-1.09146409,-1.154687712,-2.335918158,-0.30300554,-0.843733422,1,1,0.737562354,0.49822315,0.600408378
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.967036386,-0.966598122,0.324221496,0.355415444,-0.04987898,0,0.28804085,0.288014016,0.28255476,-0.00659639,0.28255476,1.013361033,-0.420579817,-0.367854288,1,1,0.859444199,-0.384260085,0.377571178
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.003503847,1.003476768,0.324221496,0.441829825,-0.037470237,0,-0.516586657,-0.516641577,-0.522892178,-0.577443442,-0.522892178,-1.072039218,-0.132425378,-0.757370206,1,1,-0.729964996,-0.928439524,0.883624913
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.292628889,0.292769683,0.324221496,0.41183235,-0.06765594,0,-0.48336809,-0.48342185,-0.489639781,0.987865669,-0.489639781,-0.136768802,0.565732597,-0.822213928,1,1,-0.803281905,-0.015241645,-0.053361017
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.012567418,-0.012354552,0.324221496,-2.927283801,-0.072677532,0,0.426451545,0.426429542,0.421106412,-0.355303865,0.421106412,2.631126076,2.759899995,-0.365321948,1,1,-0.051200262,0.074056458,0.05433881
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.208799136,-0.20853993,0.324221496,0.272639063,-0.034159932,0,-0.186246465,-0.186289854,-0.192215568,1.705944766,-0.192215568,1.999186606,0.392047387,0.634444504,1,1,1.874984465,-0.31468544,0.443586423
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-1.483827598,-1.483267294,0.324221496,-2.909837038,-0.036854669,0,0.598080806,0.598064794,0.592910461,1.114433567,0.592910461,0.153923354,1.793516513,0.190797186,1,1,-0.635722804,-0.200297815,0.140025453
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.307234035,1.30713523,0.324221496,0.372978485,0.01879889,0,-0.972419212,-0.972490043,-0.979188952,9.395590348,-0.979188952,0.558364614,1.472755369,-0.757592,1,1,2.210925077,0.710202948,0.693119968
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.46313376,0.463234289,0.324221496,0.436875562,0.093946495,0,0.946875757,0.94687192,0.942060624,-0.329473682,0.942060624,0.255033669,-0.351021911,1.440810334,1,1,-1.512751331,-2.234614374,2.183820276
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.938416145,-0.93798464,0.324221496,0.418613764,0.016508774,0,-0.330193588,-0.330242001,-0.336309286,-0.127998252,-0.336309286,1.07655498,1.065081918,1.046243424,1,1,2.483403049,0.578635579,0.752972305
